n	E	N	huitante	octante	quatre-vingts	cougner	biquer	courber	gatter	sécher	schwentzer	Un.traclet	Un.regio	Un.RER	Un.omnibus	Le.dur	Le maire	Le président	Le syndic	ruper	casser.la.croûte	manger.un.morceau	grailler	luncher	bouffer	Des.grolles	Des.godasses	Des.tricounis	Des.souliers	Des.godillots	Des.pompes	Tschüss	Adieu	Adjeu	Tout.de.bon	Tchô	Tchô.bonne	Ciao	pougner	frouiller	mascogner	copier	X.s.chinder	astiquer	poutzer	faire.les.à.fonds	faire.le.ménage	réduire	Une.torrée	Une.brisolée	Un.pique.nique	Une.canette	Une.chope	Une.cinq	Une.grande.bière	Une.pinte	Un.lycée	Un.collège	Un.gymnase	Une.braillée	Une.beuglée	Une.bramée	Une.bouellée	Piosser	Niaucher.Niauquer	Chouiner.Wouiner	Piomer	Chialer	Piauner	Grincher	Une.cramine	Une.fricasse	Un.cru	La.rebuse	Le.régent	Le.prof	Le.raitet	L.enseignant	Le.maître	Baboler	Barjaquer	Batoiller	Baidger	Causer	Elle.beutche	Elle.flambe	Elle.crame	Elle.chupie	Des.planelles	Des.catelles	Des.carrons	Je.ne.pouvais.plus.dire.papet	Je.me.suis.foutu.une.mine	J.étais.sur.Soleure	Je.me.suis.mis.sur.le.toit	Je.me.suis.ramassé.une.chiée.une.cuite	Je.me.suis.pris.une.tuée	Je.me.voyais.plus.les.mains	Papi.et.mami	Papa.et.maman	Père.et.mère	Le..vatr..et.la..mutr.	Le..pater..et.la.mère	Le.père.et.la.mère	Le.croûtion	Le.crotchon	Le.croûton	Le.trognon	Une.tétine	Une.lolette	Un.nouki	Une.raclée	Une.tapée	Une.chiée	Une.pétée	Une.peufnée	Une..é.péclée	Une.brontsée	Une.masse	Une.craquée	Un.matson	Une.bricole	Un.chouia	Une.tchette	Une.bedoume	Un.bobet	Un.boeuf	Un.niolu	Un.tocson	Un.topiot	Un.toyet	Un.dadet	J.arrive.incessamment.sous.peu	J.arrive.immédiatement	J.arrive.tout.soudain	J.arrive.dans.5	J.arrive	Gniaffer	Gifler	Baffer	Un.cheni	Un.commerce	Des.babioles	Un.petchi	Blètse	Biètse	Plètse	Tacon	De.la.réclame	Des.prospectus	De.la.publicité	De.la.pub	Des.tous.ménages	Foutimasser	Pétouiller	Faratzer	Glander	Baster	Bâcher	Capion	Sarcloir	Piochette	Piochard	Longeole	Boule.de.Bâle	Cervelas	Boutefas	Schublig	Wienerli	Un.dicastère	Un.département	Une.section	Un.ministère	Une.direction	Le.téléjournal	Le.TJ	Le.journal.télévisé	Le.JT	Les.nouvelles	Les.news	Les.infos
La Roche	3	577	172	3	0	0	0	0	2	0	3	0	0	2	1	0	0	0	0	3	3	1	1	0	0	2	0	3	1	1	0	1	1	0	2	1	0	2	1	3	0	0	0	0	0	3	0	1	0	0	0	3	3	0	0	0	0	0	3	0	3	0	0	0	0	2	0	0	3	1	0	3	1	0	0	1	3	0	0	1	0	0	3	0	1	0	1	3	2	0	3	0	0	3	0	3	1	0	3	1	2	0	0	0	0	1	1	0	1	1	3	0	0	0	3	3	0	0	0	1	3	0	0	3	2	1	3	0	0	0	1	3	2	0	0	1	3	2	1	2	1	2	1	0	3	3	0	0	2	2	0	0	2	1	0	0	0	3	1	1	1	1	1	0	0	0	3	0	2	0	1	0	1	0	0	3	0	0	1	1	0	0
La Sagne	2	552	210	0	0	2	0	0	0	0	1	2	1	1	0	0	0	0	2	0	1	1	1	1	0	1	1	2	0	0	0	1	1	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	1	0	1	1	0	2	0	0	2	0	0	2	0	1	1	0	2	1	0	0	0	1	0	1	1	0	2	1	0	1	0	0	2	0	1	1	0	0	1	0	0	2	0	2	0	2	0	0	0	1	0	1	1	0	0	2	0	0	1	2	2	1	0	0	0	1	0	1	1	0	1	2	1	2	0	1	1	1	1	0	1	1	0	1	1	0	2	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	2	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0
La Sarraz	19	529	168	19	0	0	0	0	17	0	9	0	3	16	3	3	0	0	0	19	15	8	10	11	1	10	8	18	0	7	4	11	5	6	7	4	11	11	7	17	4	0	7	1	8	18	8	8	0	0	2	18	0	19	2	4	5	0	2	18	13	10	3	11	0	4	13	0	19	2	2	16	7	4	0	1	16	0	4	8	0	11	15	0	10	0	11	16	1	2	17	1	3	15	2	9	14	7	14	0	13	3	0	0	10	1	18	1	4	4	19	2	2	7	18	15	0	5	0	3	12	0	9	17	0	8	18	0	9	1	11	10	10	8	0	7	15	2	3	15	13	19	9	3	8	6	6	4	9	14	4	5	14	8	11	7	0	14	8	16	0	13	5	2	0	1	17	5	8	5	4	6	4	0	3	15	9	3	5	9	3	7
La Sonnaz	3	577	187	3	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	3	3	0	0	1	0	2	0	3	0	1	1	1	1	0	1	1	1	2	2	3	0	0	2	0	2	3	0	2	0	0	0	3	1	3	0	0	1	0	3	0	3	0	0	1	0	3	1	0	3	0	0	2	2	1	0	1	2	0	1	1	0	2	1	0	3	0	2	3	1	1	2	0	1	2	1	0	2	0	2	1	2	0	0	0	0	0	0	1	2	1	1	1	0	0	3	3	0	0	0	2	1	0	1	3	1	1	3	0	0	0	0	1	2	2	1	0	1	2	0	2	2	3	1	0	1	2	0	0	1	3	1	1	1	1	1	2	0	3	2	1	0	1	1	1	0	0	3	0	1	2	3	0	0	0	0	2	1	1	1	2	1	1
La Tène	15	567	207	0	0	15	0	0	12	0	11	1	0	13	1	4	0	2	12	1	2	9	12	3	0	8	7	15	0	10	1	11	4	6	0	2	9	2	5	14	0	0	5	1	4	14	7	9	1	12	0	10	0	12	0	8	1	10	0	8	13	4	0	7	0	0	6	1	14	1	0	8	9	3	0	0	10	0	6	11	0	4	4	0	14	0	6	15	0	5	14	0	0	8	4	3	11	2	6	1	13	0	0	0	2	0	4	6	8	1	13	2	0	3	13	14	2	0	0	1	8	0	1	15	0	3	14	3	2	0	0	5	6	4	2	4	8	7	0	13	11	14	4	1	5	5	0	1	10	6	5	3	14	6	3	6	0	11	5	8	0	5	9	0	0	1	14	1	3	6	6	4	4	0	2	12	4	2	1	6	2	4
La Tour-de-Peilz	42	555	145	41	0	1	0	1	36	0	23	0	2	26	5	21	0	1	0	41	20	19	23	20	1	22	13	38	0	16	7	30	11	18	15	9	32	16	18	39	3	0	10	1	12	39	15	25	1	1	4	40	3	39	0	4	6	0	0	42	27	15	3	32	1	4	16	0	42	3	3	29	21	7	0	4	36	0	10	16	0	12	33	0	29	2	20	40	1	3	41	0	1	25	8	11	31	12	20	4	34	2	0	0	9	0	39	3	8	7	42	3	6	13	37	37	0	10	1	4	20	0	26	40	0	20	37	1	15	2	18	23	24	11	0	19	29	11	1	31	35	37	8	8	20	24	2	4	20	24	19	12	34	15	22	13	1	29	18	28	6	18	15	3	0	3	38	7	13	13	16	14	3	0	10	26	11	2	11	24	2	14
Lausanne	772	538	152	734	1	35	3	2	677	6	380	7	92	535	117	176	16	16	17	736	349	312	426	365	66	444	341	633	18	321	188	462	199	243	139	168	523	287	354	642	78	5	316	78	261	682	240	484	35	46	57	725	28	718	8	164	173	13	46	734	579	358	59	352	3	100	359	21	731	56	67	534	320	144	3	68	679	1	270	289	16	252	552	2	539	11	375	753	5	86	734	12	74	467	113	151	505	152	398	50	653	60	0	1	179	14	644	121	139	161	734	38	53	255	684	604	10	166	3	181	321	1	373	725	11	389	693	30	329	27	388	392	409	255	41	306	515	313	42	596	638	665	213	181	325	317	47	55	484	416	313	256	619	179	330	245	5	599	287	542	46	414	270	48	2	42	699	138	217	205	204	351	113	19	173	474	264	101	188	344	67	339
La Verrerie	1	560	161	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Lavey-Morcles	5	568	119	4	0	1	0	0	4	0	4	0	0	3	0	2	0	0	1	4	3	1	2	2	0	3	4	5	0	2	0	1	1	2	2	1	5	2	2	5	1	0	3	1	1	5	4	3	1	1	2	4	0	5	0	0	0	1	1	3	5	4	1	4	0	1	3	0	5	0	0	4	3	1	0	0	5	0	1	3	0	4	5	0	3	0	2	5	0	0	5	0	1	3	2	3	2	3	3	0	3	1	0	0	3	1	5	0	3	1	5	0	2	3	5	5	0	3	0	1	3	0	5	5	0	5	5	0	2	1	2	3	3	2	0	4	2	1	2	3	5	3	1	2	3	2	0	0	4	4	1	0	3	2	3	1	0	4	4	2	3	2	0	1	0	0	5	0	2	2	2	2	1	0	0	2	1	1	0	4	0	1
Lavigny	11	521	150	11	0	0	0	0	9	0	9	0	1	11	1	1	0	0	0	11	10	5	8	9	0	9	9	9	1	5	3	7	3	5	2	1	6	5	6	11	3	0	6	1	1	11	4	6	0	0	0	11	1	11	0	1	1	0	0	11	8	4	0	6	0	1	9	0	11	1	0	11	2	1	0	2	10	0	2	5	0	4	11	0	6	0	6	10	0	1	11	0	4	8	1	6	7	1	6	0	10	1	0	0	3	0	11	2	1	4	11	0	1	3	10	9	0	1	0	2	6	0	7	11	0	6	8	0	5	0	7	6	9	1	0	3	9	4	0	10	7	9	4	4	8	6	0	0	7	5	4	2	10	4	6	4	0	7	7	7	0	10	1	0	0	0	11	2	3	1	5	2	3	1	0	6	3	0	2	5	1	6
Le Bémont (JU)	1	568	235	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
Le Cerneux-Péquignot	3	541	208	0	0	3	0	0	1	0	2	1	1	2	0	0	0	0	3	0	0	1	3	0	0	1	1	3	0	1	1	0	0	1	0	0	1	0	3	3	0	0	2	1	1	3	1	2	0	3	0	2	1	1	0	1	0	2	1	0	3	2	0	0	0	1	0	0	3	1	0	2	2	0	0	0	2	0	1	3	0	1	0	0	2	0	1	3	1	1	2	0	0	2	0	0	2	0	1	0	3	0	0	0	1	0	1	0	2	0	3	0	1	1	3	2	0	1	0	1	1	0	1	3	0	0	3	1	2	0	0	0	3	0	0	0	1	2	0	2	3	3	1	0	1	1	0	0	3	0	1	0	3	2	0	0	0	3	0	2	0	1	1	0	0	0	3	0	0	0	2	0	0	0	0	2	2	0	0	0	0	3
Léchelles	3	570	188	3	0	0	0	0	1	0	2	2	1	2	0	0	0	0	0	3	2	0	2	2	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	3	0	0	1	0	0	3	1	0	0	0	0	3	2	2	0	0	0	0	2	1	2	0	0	3	0	2	1	0	3	2	0	1	1	1	0	1	2	0	1	0	0	2	2	0	1	0	1	3	2	1	2	0	0	2	0	2	0	2	0	1	2	0	0	0	1	0	0	2	1	0	2	1	0	0	3	2	0	1	0	0	3	0	2	2	3	0	2	0	2	0	1	3	2	2	0	1	3	0	0	2	3	2	1	1	2	2	0	0	2	2	0	0	2	1	0	2	0	2	1	2	0	1	1	1	0	0	2	0	1	1	2	0	0	0	1	2	0	0	1	0	1	1
Le Chenit	1	506	160	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Le Flon	7	557	162	7	0	0	0	0	4	0	7	0	0	6	3	1	0	0	0	7	6	1	5	2	0	4	0	6	0	5	0	2	0	4	3	1	6	2	4	7	0	0	3	0	0	5	3	5	1	0	0	7	2	7	0	0	0	0	7	0	4	1	0	4	0	5	2	0	6	1	0	7	4	1	0	1	6	0	2	4	0	3	7	0	3	0	3	6	2	0	7	0	3	4	0	3	4	1	4	0	5	1	0	0	2	0	4	2	2	0	7	0	0	0	7	5	0	3	0	1	4	0	3	5	2	2	7	0	2	0	3	4	3	1	0	1	4	3	0	6	5	5	2	0	3	4	0	1	5	3	1	1	6	3	0	1	0	6	3	5	0	4	3	0	0	0	5	0	4	3	3	1	0	1	1	4	3	0	1	4	0	2
Le Glèbe	1	568	175	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Le Grand-Saconnex	838	497	121	86	1	745	4	2	107	498	585	7	61	590	226	84	16	707	29	93	91	353	483	478	116	523	483	649	2	284	150	553	223	224	63	124	558	139	504	182	23	483	523	14	284	666	106	607	18	19	32	825	574	370	7	219	202	22	780	73	578	491	46	126	1	44	424	5	806	27	69	203	464	230	6	11	762	3	358	366	30	413	131	0	673	6	426	806	6	40	800	16	30	605	56	200	492	74	286	45	748	93	1	0	147	14	393	295	396	395	693	42	41	279	748	658	5	66	1	233	145	0	379	792	8	145	767	59	266	12	35	179	462	375	94	93	342	530	16	691	695	741	67	206	306	311	58	134	223	297	352	347	735	127	128	169	3	771	282	514	36	395	337	35	204	74	709	31	231	96	91	493	136	34	134	507	180	189	264	348	135	405
Le Landeron	28	572	211	2	0	26	1	0	18	0	21	5	0	21	0	15	0	9	18	1	3	12	23	3	2	16	17	25	2	18	3	18	9	7	7	5	17	4	15	23	0	0	8	8	6	26	11	21	0	15	1	22	2	23	0	19	3	15	0	16	24	11	0	17	0	1	13	1	26	2	2	13	21	5	0	0	25	0	9	7	1	9	10	0	26	5	10	27	0	7	26	0	2	20	9	5	21	8	20	5	23	3	0	0	5	0	11	13	14	1	25	8	0	10	26	21	5	6	0	3	15	0	9	28	0	10	25	6	9	0	2	10	16	4	0	2	21	11	4	25	20	24	10	8	4	9	1	5	20	14	6	3	23	10	3	12	1	27	9	22	0	13	14	1	0	0	26	0	5	14	13	8	2	1	4	17	9	3	6	14	3	11
Le Lieu	7	511	167	7	0	0	0	0	3	0	5	0	1	5	1	1	1	0	0	7	5	1	3	1	0	1	2	6	0	1	0	2	0	2	1	0	5	3	2	4	2	0	2	2	1	7	1	4	0	0	0	7	0	7	0	1	0	0	0	7	5	1	0	6	0	2	4	0	7	1	0	7	4	0	0	2	7	0	1	1	0	2	7	0	4	0	4	6	0	3	6	0	0	4	0	2	4	1	4	0	7	0	0	0	1	0	7	0	1	1	7	0	1	3	7	6	0	3	0	1	6	0	6	7	0	5	7	0	1	0	5	5	2	3	1	2	3	2	0	4	5	5	3	1	4	2	3	0	4	5	1	0	5	3	3	3	0	5	3	4	0	6	1	0	0	1	5	2	2	2	3	0	1	0	3	3	1	0	0	5	0	1
Le Locle	78	548	212	4	0	74	0	0	15	0	51	56	4	64	3	19	2	10	62	6	16	36	52	18	2	47	46	70	1	29	13	51	19	30	7	16	48	14	45	64	1	0	22	32	16	73	16	48	0	68	0	45	4	62	1	49	8	57	3	26	66	38	1	41	0	4	33	2	76	3	5	41	58	7	1	0	74	0	25	23	1	38	16	0	63	13	37	75	0	12	76	1	0	53	14	15	63	12	35	5	59	4	0	0	21	2	19	27	41	16	77	3	3	28	67	60	32	6	0	10	37	0	23	71	0	18	74	29	33	2	3	18	47	25	5	17	52	24	20	57	62	69	34	11	20	31	0	5	67	44	18	17	64	25	5	43	0	67	21	59	0	31	33	18	0	5	75	1	7	28	29	30	12	1	9	49	23	4	14	37	5	22
Le Mont-sur-Lausanne	15	538	156	15	0	0	0	0	14	0	5	0	1	14	3	1	0	0	1	14	6	4	6	10	0	5	7	13	1	6	4	9	6	4	3	1	8	4	6	14	1	0	5	1	3	14	3	8	2	2	2	12	1	14	0	4	2	0	0	15	10	6	0	8	0	1	5	0	15	1	2	8	6	6	0	1	13	0	4	3	0	4	12	0	12	0	4	15	1	2	15	0	0	12	2	3	11	1	5	1	15	0	0	0	2	0	14	2	6	1	15	0	1	3	13	12	0	4	0	1	5	0	7	15	0	8	15	0	2	0	10	5	10	7	1	6	10	7	1	13	12	14	2	2	6	3	1	1	7	8	4	6	14	2	1	4	0	13	3	11	1	5	8	0	0	1	15	1	3	3	3	3	5	0	2	7	1	2	5	10	1	8
Le Mouret	25	582	177	25	0	0	0	0	7	0	19	16	3	19	5	2	0	0	0	25	16	9	16	9	0	11	2	24	2	15	2	9	12	8	13	3	18	16	14	25	0	0	8	2	5	25	4	13	4	0	0	25	22	7	0	4	5	0	25	0	22	3	0	15	0	22	9	0	25	6	2	24	11	2	0	5	19	0	9	9	0	12	21	0	16	1	11	25	5	3	24	1	4	21	1	11	19	7	21	12	14	0	0	0	6	2	10	5	7	6	23	2	2	3	23	23	0	3	0	2	15	0	9	21	8	6	23	0	5	1	4	21	14	7	1	1	11	15	0	21	18	20	10	4	11	14	0	2	16	16	6	8	20	5	0	8	0	22	6	20	1	7	13	3	0	1	23	0	6	11	8	5	2	0	9	18	8	3	3	13	0	5
Le Noirmont	22	564	231	2	0	20	0	0	6	0	13	10	1	16	2	5	0	20	1	1	2	10	18	4	1	13	14	19	1	13	4	10	7	5	0	3	17	5	16	11	0	0	6	21	6	21	5	15	0	20	0	14	1	14	2	14	3	16	1	11	16	5	0	16	0	1	11	0	22	0	2	12	19	2	0	1	22	13	7	11	0	16	3	2	12	18	6	20	0	8	19	0	1	14	6	4	21	4	10	0	14	2	0	0	9	0	2	15	9	0	22	1	1	10	19	18	12	0	0	1	8	0	4	20	0	1	22	9	14	5	2	2	13	11	1	1	15	8	6	18	15	18	10	6	5	5	0	5	19	12	4	4	18	7	0	4	0	20	3	20	1	12	6	4	0	0	20	0	3	11	15	4	3	0	1	17	8	2	2	9	1	8
Lens	28	601	124	26	1	1	0	0	10	1	25	0	0	25	2	2	1	0	26	2	11	13	17	9	0	12	10	26	0	13	4	13	7	3	19	9	14	17	10	28	0	0	6	1	11	28	9	13	1	2	1	26	3	28	0	3	3	0	28	1	24	15	2	5	0	1	22	0	26	0	2	17	25	0	0	11	24	0	11	16	1	25	15	0	16	1	13	28	1	2	27	2	0	20	2	9	13	21	17	0	23	1	0	1	9	0	28	0	2	9	25	0	0	2	23	22	1	1	3	3	13	0	17	26	0	3	24	1	6	22	2	5	16	14	0	7	12	11	0	22	22	25	1	4	11	14	0	0	22	9	11	8	22	12	2	5	0	26	22	10	19	2	9	0	0	0	27	1	2	4	12	7	5	0	4	20	8	2	3	16	1	7
Le Pâquier (FR)	1	571	160	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
Les Agettes	2	595	118	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	2	0	2	1	2	1	0	1	2	2	0	1	0	2	1	1	2	0	1	2	2	2	0	0	2	0	2	2	1	2	0	0	0	2	0	2	0	0	0	0	2	0	2	2	1	1	0	0	2	0	2	0	0	2	2	0	0	1	2	0	1	2	0	2	2	0	1	0	2	2	0	0	2	0	0	1	1	2	2	2	2	1	1	0	0	0	1	0	2	0	1	1	2	0	0	0	1	2	0	0	0	1	2	0	2	2	0	1	2	0	0	2	1	1	2	1	1	1	2	2	0	2	2	2	0	1	2	2	0	0	2	1	0	1	1	1	0	0	0	2	2	1	1	1	0	0	0	0	2	0	0	0	2	0	0	0	0	2	1	1	0	1	0	2
Les Bois	9	560	225	0	0	9	0	1	2	0	6	5	0	8	1	2	1	9	0	0	0	2	6	2	0	5	4	8	0	4	3	3	2	3	1	2	5	3	5	5	0	0	2	9	2	9	1	6	1	7	0	6	0	8	2	5	3	8	0	2	9	5	0	7	0	1	6	0	8	2	0	3	8	0	0	0	6	3	4	2	0	6	0	2	7	7	4	7	0	2	8	0	0	6	2	0	8	2	8	1	6	1	0	0	3	0	2	6	1	0	8	1	0	3	7	5	5	0	0	2	2	0	4	8	0	0	9	3	2	1	0	2	5	2	0	1	5	5	4	5	7	8	4	1	1	2	0	4	7	6	1	2	5	4	0	5	0	7	1	9	0	8	1	2	0	0	9	0	2	4	7	1	1	0	1	5	2	2	1	3	0	3
Les Brenets	12	544	213	1	0	11	0	0	3	0	9	4	1	10	1	2	0	2	9	1	3	6	7	3	1	8	5	10	0	3	1	5	1	2	0	1	6	4	6	11	1	0	3	5	2	10	0	8	0	9	0	8	0	7	0	8	2	8	4	2	9	3	0	6	0	0	4	0	12	0	1	1	12	1	0	0	10	0	3	5	0	3	4	0	7	1	5	12	0	0	12	0	0	9	1	3	11	1	3	0	10	1	0	0	3	0	1	7	8	2	12	1	1	2	10	9	1	1	0	1	5	0	2	12	0	0	10	3	2	0	0	2	6	5	0	0	9	6	2	11	8	11	1	1	3	4	0	1	10	3	3	4	11	5	0	6	0	9	3	9	0	5	6	1	0	0	12	0	2	6	2	4	2	1	4	7	2	1	3	4	2	8
Les Breuleux	26	567	229	0	0	26	0	1	3	0	21	9	1	22	0	5	0	25	1	0	2	13	20	4	0	15	11	23	1	10	2	12	9	6	0	5	13	8	17	6	0	0	10	26	7	22	5	18	0	23	0	15	1	19	4	16	4	19	0	9	23	9	1	16	0	2	17	0	26	0	1	7	25	1	0	1	22	8	8	11	0	18	0	12	19	20	10	23	0	7	23	0	2	14	4	8	23	6	16	2	19	1	0	0	13	1	3	21	9	5	26	4	1	12	23	17	18	0	0	2	13	0	6	25	0	2	25	11	8	4	0	4	15	9	0	2	20	10	11	18	18	23	5	2	8	1	0	11	24	17	7	9	20	14	0	10	0	23	3	24	1	17	7	6	0	0	26	0	2	16	15	5	2	1	6	20	7	1	6	14	4	6
Les Enfers	1	570	238	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Les Montets	6	555	184	5	0	1	0	0	5	0	3	1	0	6	0	0	1	0	0	6	5	1	2	3	0	3	2	6	0	2	1	3	2	2	1	1	4	5	1	6	0	0	1	1	3	6	1	2	0	1	0	5	3	4	0	1	1	1	5	1	6	1	0	3	0	4	3	0	6	1	1	6	2	1	0	3	5	0	0	0	0	1	6	0	3	0	2	6	1	3	4	0	2	5	0	2	2	2	4	0	5	1	0	0	0	1	2	1	4	1	6	0	1	1	6	5	0	0	0	2	4	0	3	5	2	4	6	0	4	1	2	4	1	0	1	1	4	1	1	5	4	5	4	0	3	3	0	0	5	3	0	1	6	2	1	3	1	6	3	5	0	3	3	0	0	0	6	0	3	5	4	2	0	0	0	4	1	0	1	3	1	2
Les Ponts-de-Martel	8	546	206	1	0	7	0	0	1	0	6	4	2	6	0	1	0	1	7	0	1	6	5	0	0	5	3	7	0	5	0	4	2	5	0	2	5	4	4	7	0	0	3	4	2	7	4	5	1	7	0	5	0	5	0	6	2	8	0	1	7	2	0	4	0	0	1	0	8	0	0	3	7	0	0	0	8	0	4	4	0	3	1	0	6	1	5	7	0	2	6	0	0	6	1	2	7	0	3	1	6	0	0	0	1	0	1	3	6	1	8	1	0	3	6	6	0	0	0	1	5	0	2	8	0	0	7	1	2	0	0	1	3	2	0	1	7	4	1	6	5	7	4	2	1	2	0	0	7	5	5	3	7	6	0	5	0	8	2	5	0	4	3	0	0	0	7	0	1	3	5	3	1	0	2	5	0	0	1	5	1	4
Les Verrières	3	527	195	0	0	3	0	0	1	0	3	1	0	3	0	0	0	0	3	0	1	3	3	1	0	2	3	3	0	3	0	2	1	2	0	1	1	0	1	3	0	0	2	1	1	3	2	2	0	2	1	2	1	2	1	1	0	2	0	1	3	1	0	2	0	0	3	0	3	0	1	3	2	0	0	0	3	0	1	3	0	1	1	0	3	0	1	3	0	2	2	0	0	1	0	0	3	1	2	0	3	0	0	0	2	0	1	1	1	2	3	0	0	2	2	2	0	0	0	0	0	0	1	1	1	2	2	3	0	0	0	0	2	1	1	1	2	2	1	2	3	2	1	1	0	1	0	0	2	1	2	1	2	3	0	2	0	3	1	2	0	0	3	0	0	0	3	0	0	1	2	0	0	0	1	3	1	0	1	0	0	2
Leukerbad	1	615	136	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1
